publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-28T03:25:34Z,@mugiraharjo6270,"But, remember this.<br><br>Dalam setiap video yang sering anda &quot;mempromosikan&quot; rokok, walaupun tidak ada kepentingan bisnis disitu, <br>Tapi anda sebagai influencer, memberi pengaruh, mengajarkan, untuk merokok. Secara tidak langsung.<br><br>Mungkin terkesan out of topic.<br>Tapi pada prinsipnya ini sama seperti judul thread video.<br><br>Influencer yang memberikan pengaruh secara langsung atau tidak langsung, secara sadar ataupun tidak sadar.<br><br>Anda turut memberikan EXPOSURE..",0
2024-06-29T06:35:05Z,@iqbalpras8086,"Tpi rokok less harm, ada regulasi, ada tempat atau area khusus di ruang publik, dampak dari rokok bisa diatasi lewat olahraga yg kenceng atau tinggal menghindar bagi yg sadar dgn bahaya perokok pasif, dan satu hal yg pasti menyumbang uang dlm bentuk cukai buat negara yg mana cukainya dipake buat penanggulangan dampak negatif rokok(seperti bangun rumah sakit, buka yayasan, bangun sekolah, bangun infrastruktur, sampai adanya pembukaan beasiswa bergengsi di bidang olahraga terutama). &quot;KAGA MACAM JUDOL YG DAMPAK NEGATIFNYA BISA MERAMBAT KEMANA-MANA, DAN UANGNYA PADA LARI KE SATU ATAP DOANG!!!&quot;<br><br>Dan di situasi yg judol udah bkin Indonesia jdi separah ini, masih mau membandingkan sama rokok??? HEY!!! PAKAI AKAL SEHAT ANDA DULU SEBELUM BUKA STATEMENT KOMPARASI!!! KLO ADA BEBERAPA HAL YG MERUGIKAN, YA DI HIGHLIGHT DULU YG &quot;THE MOST WANTEDNYA LAH!!!&quot;",2
2024-06-27T05:15:45Z,@raymizardsiregar7934,"Bang. Pas lo take video ini, sempet salah isep gak. Isep kapur bukan rokok? Wkwkwkwk",0
2024-06-26T13:07:15Z,@Wopppa,"<a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=514"">8:34</a> anjir gw kira ada iklan judol di YouTube",1
2024-06-24T08:12:08Z,@erikabenkbenk-ct5xx,"Exetoto pnipuan,,, kwn jbol 14 JT GX d byr,,, d benettt",0
2024-06-23T02:02:37Z,@febri2778,Panutan bang ferry,0
2024-06-20T03:22:09Z,@tegaricikiwir6049,miris sekarang bahkan mahasiswa yang seharusnya jadi agent of change buat menyuarakan gimana bobroknya judol ini malah pada main juga😢,0
2024-06-16T09:19:52Z,@IchiDL2,🦫habis jp di zeus tapi zeusnya di god of war,0
2024-06-16T07:14:21Z,@alexandrasantoso3112,"Gaya hidup jg menunjang sih, gw yg boss aja klo makan irit2, ART gw boros amat klo makan sm beli baju pdhl dia beli bajunya kemahalan krn dia bukan smart buyer (di toko oren baju dia harganya cm 40% nya aja) Puji Tuhan gw tinggal di komplek elit ga pernah makan gengsi tuh krn gw jg ga suka kumpul2 atau hang out, hidup cm sm suami, anak2 dan Tuhan",0
2024-06-16T07:10:10Z,@alexandrasantoso3112,"Sy yg tdk mengidoalakan siapapun, tdk suka Kdrama dan KPop, anti main game (ga bisa jg), hidupnya cm masak, beberes rumah, dandan cantik buat suami, Olah Raga, ga gampang kepengaruh sm gemerlapnya dunia (lbh suka berdoa), hidup ga suka ngutang, ga suka pamer di IG , IG ga aktif, FB apalagi…..lbh pilih menghabiskan  waktu bersama anak2 hati damai bukan main…🙏God is so good all the time",0
2024-06-11T11:18:59Z,@rim3540,Goofy ah intro,0
2024-06-07T09:18:57Z,@YoumanPor,kan mereka didonate influencer kocak nih orang,0
2024-06-29T06:37:03Z,@iqbalpras8086,Hah??? Maksudnya??? Siapa yg dpt donate dari influencer???,1
2024-07-03T01:57:47Z,@muafa1499,kau ku kocakin sini otak kau,1
2024-10-08T10:29:56Z,@AkhmdOpetto,AWKWKWKWK LU CUMAN ORG TOLOL YG KGK PHAM APA APA,0
2024-06-07T08:11:31Z,@nevermind9248,mantap abangku,0
2024-05-23T13:11:21Z,@haqialbar3188,"Sekarang usernya 3,2 juta",0
2024-05-21T17:21:04Z,@ahmaddavid4284,Gua sumpahin tuh yg kerjanya jadi admin selot mampus sekeluarga. Sama bandar judi slot mampus sekeluarga,0
2024-05-21T09:59:02Z,@ValentinoWijaya-zz4in,"teruntuk kalian rakyat yg main judol, MIKIRRR!!! <br><br>KALIAN TUH UDAH MISKIN, GOBLOK, PENGKHIANAT NEGARA PULA<br><br>Pantes kalo kalian ga kaya2, pola pikir aja ga bener",2
2024-06-28T11:45:37Z,@masjo6936,Wkwkwkwk teriak lapar karena harga mahal padahal resesinya akibat dia sendiri yang perputaran uang nya buat judol &quot;MIRIS&quot;,2
2024-05-18T06:07:11Z,@Meitary,"Dosa jariyahnya gacor, walaupun udah tobat tapi kalo masih ada yg main judol karena promosi/godaan lu, dosanya masih akan tetap mengalir.",0
2024-05-17T23:41:33Z,@doyiodoy723,Sekaraag udah hampir 3.5jt pemain katanya bener gak,1
2024-05-21T07:48:31Z,@MrStupidarmy,"2.7 juta, tapi mungkin gak lama lagi bisa tembus",0
2024-06-22T15:16:31Z,@noobscoopsies1100,"Kemungkinan lebih tinggi lagi, Di google trend gw liat Chart google search nya 3x lebih tinggi ketimbang Bok*p.",1
